n:122 mse_avg:1.19 mse_y:1.68 mse_u:0.22 mse_v:0.16 psnr_avg:47.39 psnr_y:45.87 psnr_u:54.80 psnr_v:56.07 
n:123 mse_avg:1.23 mse_y:1.75 mse_u:0.23 mse_v:0.17 psnr_avg:47.22 psnr_y:45.70 psnr_u:54.58 psnr_v:55.88 
n:124 mse_avg:1.35 mse_y:1.91 mse_u:0.24 mse_v:0.17 psnr_avg:46.84 psnr_y:45.31 psnr_u:54.31 psnr_v:55.84 
n:125 mse_avg:1.31 mse_y:1.86 mse_u:0.23 mse_v:0.16 psnr_avg:46.97 psnr_y:45.43 psnr_u:54.54 psnr_v:55.98 
n:126 mse_avg:1.44 mse_y:2.07 mse_u:0.21 mse_v:0.16 psnr_avg:46.54 psnr_y:44.97 psnr_u:54.85 psnr_v:56.00 
n:127 mse_avg:1.39 mse_y:1.99 mse_u:0.20 mse_v:0.15 psnr_avg:46.71 psnr_y:45.13 psnr_u:55.22 psnr_v:56.23 
n:128 mse_avg:1.70 mse_y:2.46 mse_u:0.19 mse_v:0.16 psnr_avg:45.84 psnr_y:44.23 psnr_u:55.29 psnr_v:56.09 
n:129 mse_avg:2.26 mse_y:3.29 mse_u:0.23 mse_v:0.17 psnr_avg:44.59 psnr_y:42.96 psnr_u:54.49 psnr_v:55.78 
n:130 mse_avg:2.81 mse_y:4.11 mse_u:0.24 mse_v:0.18 psnr_avg:43.64 psnr_y:41.99 psnr_u:54.29 psnr_v:55.65 
n:131 mse_avg:3.14 mse_y:4.59 mse_u:0.26 mse_v:0.19 psnr_avg:43.17 psnr_y:41.51 psnr_u:53.98 psnr_v:55.46 
n:132 mse_avg:2.77 mse_y:4.04 mse_u:0.25 mse_v:0.18 psnr_avg:43.71 psnr_y:42.06 psnr_u:54.15 psnr_v:55.66 
n:133 mse_avg:2.42 mse_y:3.53 mse_u:0.23 mse_v:0.17 psnr_avg:44.29 psnr_y:42.65 psnr_u:54.58 psnr_v:55.83 
n:134 mse_avg:2.44 mse_y:3.56 mse_u:0.23 mse_v:0.18 psnr_avg:44.25 psnr_y:42.61 psnr_u:54.60 psnr_v:55.51 
n:135 mse_avg:2.44 mse_y:3.56 mse_u:0.21 mse_v:0.18 psnr_avg:44.26 psnr_y:42.62 psnr_u:54.81 psnr_v:55.61 
n:136 mse_avg:2.05 mse_y:2.98 mse_u:0.21 mse_v:0.17 psnr_avg:45.01 psnr_y:43.38 psnr_u:54.99 psnr_v:55.86 
n:137 mse_avg:1.84 mse_y:2.66 mse_u:0.22 mse_v:0.17 psnr_avg:45.49 psnr_y:43.88 psnr_u:54.68 psnr_v:55.87 
n:138 mse_avg:1.81 mse_y:2.62 mse_u:0.23 mse_v:0.17 psnr_avg:45.55 psnr_y:43.95 psnr_u:54.50 psnr_v:55.89 
n:139 mse_avg:2309.66 mse_y:3356.26 mse_u:241.01 mse_v:191.90 psnr_avg:14.50 psnr_y:12.87 psnr_u:24.31 psnr_v:25.30 
n:140 mse_avg:17.63 mse_y:25.99 mse_u:1.17 mse_v:0.66 psnr_avg:35.67 psnr_y:33.98 psnr_u:47.44 psnr_v:49.95 
n:141 mse_avg:15.50 mse_y:22.86 mse_u:0.95 mse_v:0.60 psnr_avg:36.23 psnr_y:34.54 psnr_u:48.34 psnr_v:50.38 
n:142 mse_avg:9.32 mse_y:13.72 mse_u:0.61 mse_v:0.42 psnr_avg:38.44 psnr_y:36.76 psnr_u:50.30 psnr_v:51.92 
n:143 mse_avg:5.69 mse_y:8.33 mse_u:0.46 mse_v:0.38 psnr_avg:40.58 psnr_y:38.93 psnr_u:51.49 psnr_v:52.39 
n:144 mse_avg:11.20 mse_y:16.49 mse_u:0.74 mse_v:0.50 psnr_avg:37.64 psnr_y:35.96 psnr_u:49.41 psnr_v:51.13 
n:145 mse_avg:17.00 mse_y:25.03 mse_u:1.15 mse_v:0.69 psnr_avg:35.83 psnr_y:34.15 psnr_u:47.53 psnr_v:49.72 
n:146 mse_avg:19.04 mse_y:28.02 mse_u:1.42 mse_v:0.71 psnr_avg:35.34 psnr_y:33.66 psnr_u:46.62 psnr_v:49.59 
